event_date,location_description,latitude,longitude,landslide_category,landslide_size,landslide_trigger,fatality_count,injury_count
2016-08-17 12:40:00,"Sunnyhurst Woods, Darwen, United Kingdom",53.702353,-2.48863,landslide,small,construction,0,0
2017-06-26 13:20:00,"NH-2, Pherzawl District, Manipur State, India",24.21988831,93.20266204,landslide,medium,downpour,0,0
2017-05-28 13:34:00,"新北市,坪林區,石嶆里,9,232",24.89456743,121.7334279,rock_fall,small,rain,0,0
2016-08-09 13:37:00,"Jugu, Nepal",27.6835,86.1804,landslide,small,rain,2,1
2017-06-10 13:27:00,,17.1523721,-100.6903727,mudslide,medium,rain,8,0
2017-05-12 13:28:00,"NF-70010, Alpine, Utah, 84004",40.48808507,-111.650935,mudslide,small,rain,0,0
2017-06-01 13:34:00,Coonoor-Mettupalyam road near Kallar,11.34165808,76.8694278,landslide,small,rain,0,0
2017-05-28 13:34:00,Rasht Valley of Tajikistan (exact coordinates given),39.19779968,71.27547914,mudslide,large,snowfall_snowmelt,0,0
2017-05-29 13:34:00,Hakha in Zayhuang Ward,22.65620215,93.61589869,landslide,small,continuous_rain,0,0
2017-05-20 20:14:00,"Tori Street, Borjomi",41.83695379,43.39854621,landslide,medium,other,0,0
2017-06-21 18:51:00,Panthiyal village area,32.62803,75.37123,landslide,small,rain,0,0
2017-06-24 13:10:00,"Erdaoban, Kham region, Tibet Autonomous Region, China",29.71492436,98.92090376,landslide,medium,rain,0,0
2017-05-29 13:34:00,State Highway 3 between Juliaetta and Kendrick,46.59738913,-116.6803679,landslide,small,unknown,0,0
2017-06-04 13:34:00,Dima Hasao district,25.15246863,92.94670614,landslide,medium,continuous_rain,0,0
2017-06-13 18:48:00,,21.87861504,92.2676503,landslide,large,downpour,6,0
2016-08-13 19:22:00,"Yongding, Longyan, Fujian, China",24.725938,116.732231,landslide,medium,continuous_rain,1,22
2017-06-27 13:20:00,"NH 2, Manipur State, India",24.30415689,93.18182448,landslide,medium,downpour,0,0
2017-05-20 20:14:00,"Rishikesh-Badrinath highway, near Vishnuprayag, between Joshimath and Badrinath",30.56504675,79.56163208,landslide,medium,unknown,0,0
2016-08-15 19:22:00,Y:31.581485 X:78.412784,31.581485,78.412784,landslide,small,rain,0,0
2016-08-16 12:40:00,"Longding, India",26.88161,95.399897,landslide,small,other,1,0
2017-05-20 20:14:00,"Highway to Badrinath, Uttarakhand",30.73315585,79.49231617,landslide,large,rain,13,0
2017-05-24 20:14:00,Mine in Sur Range 50km east of Quetta,30.02715,67.458172,landslide,medium,mining,4,15
2017-06-21 13:15:00,,33.63251807,75.23162006,landslide,medium,downpour,0,0
2017-05-22 20:14:00,"Kellysville Road on CR 460, near Kellysville WV",37.335787,-80.960781,rock_fall,small,unknown,0,0
2017-06-19 13:15:00,"Chapmans Peak Dr, De Goede Hoop, Cape Town, Western Cape, 7945",-34.06995509,18.36915952,rock_fall,small,rain,0,0
2017-06-12 13:27:00,"Along track betweek Jokatte and Padil stations, near Mangaluru",13.90074546,74.66018578,landslide,small,rain,0,0
2017-05-25 20:14:00,at Mawathawatta in Agalawatta,6.519724975,80.15402093,landslide,medium,unknown,6,0
2016-08-18 12:40:00,"Isfara, Tajikistan",39.978954,70.56256,mudslide,medium,rain,0,0
2017-06-29 13:37:00,"Talladehi, Nepal",29.60012,80.630002,landslide,medium,rain,0,0
2017-06-12 18:03:00,"CA-140, Yosemite National Park, California, 95389",37.72438031,-119.710017,rock_fall,medium,unknown,0,0
2017-06-13 13:27:00,"On Palu-Tolitloli highway, around Labonu waterfalls",0.744821843,120.5927163,landslide,medium,rain,0,0
2017-05-21 20:14:00,"CR 43, near Drake CO",40.43368578,-105.3475523,rock_fall,small,unknown,0,0
2017-06-08 13:27:00,Highway 50 near Adler Creek between Kyburz and White Hall,38.76361817,-120.3239812,landslide,small,rain,0,0
